"","Tm","Player","Age","Pos","Born","College","From","To","G","MP","PTS","TRB","AST","STL","BLK","FG%","2P%","3P%","FT%","WS","WS/48","Draft.Year","Pick.Number"
"628","SAS","James Anderson\anderja01",21.096,"G-F","us","Oklahoma State University",2011,2016,247,17.5,5.8,2.3,1.2,0.5,0.2,0.411,0.495,0.321,0.755,-0.719356665131771,0.037,2010,20
"629","MIL","Jimmer Fredette\fredeji01",22.123,"G","us","Brigham Young University",2012,2016,235,13.4,6,1,1.4,0.4,0,0.412,0.432,0.381,0.876,-0.747178293673657,0.037,2011,10
"630","CHI","Denzel Valentine\valende01",22.225,"G","us","Michigan State University",2017,2018,85,20.9,6.4,3.5,1.7,0.6,0.1,0.364,0.362,0.365,0.759,-0.778091214275752,0.037,2016,14
"631","SEA","Rich King\kingri01",22.088,"C","us","University of Nebraska",1992,1995,72,4.3,1.9,1,0.3,0.1,0.1,0.393,0.4,0,0.662,-0.815186718998267,0.036,1991,14
"632","MIL","Lee Mayberry\maybele01",22.018,"G","us","University of Arkansas",1993,1999,496,20.8,5.1,1.3,3.6,0.7,0.1,0.415,0.446,0.377,0.659,-0.577157230362133,0.036,1992,23
"633","PHO","Malcolm Mackey\mackema01",22.36,"F-C","us","Georgia Institute of Technology",1994,1994,22,3.1,1.5,1.1,0,0,0.1,0.378,0.4,0,0.5,-0.818278011058476,0.036,1993,27
"634","LAC","Maurice Taylor\tayloma01",20.243,"F","us","University of Michigan",1998,2007,534,25,11,4.6,1.2,0.5,0.5,0.466,0.468,0.152,0.711,-0.515331389157942,0.036,1997,14
"635","MIA","Charles Smith\smithch04",21.313,"G","us","University of New Mexico",1998,2006,142,13.9,5.1,1.4,0.9,0.6,0.5,0.409,0.473,0.288,0.606,-0.774999922215543,0.036,1997,26
"636","SAS","Felipe Lopez\lopezfe01",23.193,"G","do","St. John's University",1999,2002,249,16.6,5.8,2.4,1,0.6,0.2,0.432,0.445,0.327,0.659,-0.72553924925219,0.036,1998,24
"637","CLE","Sergey Karasev\karasse01",19.249,"G-F","ru",NA,2014,2016,95,11.7,3,1.5,0.9,0.3,0,0.395,0.489,0.282,0.842,-0.796638966637009,0.036,2013,19
"638","ORL","Dario Saric\saricda01",20.084,"F","hr",NA,2017,2018,108,27.2,12.6,6.5,2.2,0.7,0.4,0.413,0.473,0.317,0.785,-0.753360877794076,0.036,2014,12
"639","VAN","Roy Rogers\rogerro02",22.317,"F","us","University of Alabama",1997,2000,137,16.9,4.8,3.5,0.4,0.2,1.5,0.483,0.483,0.5,0.532,-0.768817338095124,0.035,1996,22
"640","SAC","Tariq Abdul-Wahad\abdulta01",22.24,"F","fr","San Jose State University",1998,2003,236,20.4,7.8,3.3,1.1,0.8,0.4,0.417,0.425,0.237,0.703,-0.713174081011352,0.035,1997,11
"641","PHO","Zarko Cabarkapa\cabarza01",22.041,"F","rs",NA,2004,2006,150,10.3,4.3,2.1,0.6,0.2,0.2,0.427,0.457,0.273,0.733,-0.787365090456381,0.035,2003,17
"642","MIN","Rashad McCants\mccanra01",20.281,"G","us","University of North Carolina",2006,2009,249,20.2,10,2,1.3,0.7,0.2,0.431,0.467,0.368,0.741,-0.710082788951142,0.035,2005,14
"643","LAC","Al Thornton\thornal01",23.209,"F","us","Florida State University",2008,2011,296,28,11.9,4.2,1.2,0.6,0.5,0.452,0.467,0.293,0.747,-0.632800487445904,0.035,2007,14
"644","NOH","Austin Rivers\riverau01",19.336,"G","us","Duke University",2013,2018,373,23.3,8.8,2,2.2,0.7,0.2,0.416,0.446,0.354,0.651,-0.626617903325485,0.035,2012,10
"645","PHO","Bogdan Bogdanovic\bogdabo01",21.317,"G","rs",NA,2018,2018,25,24.6,9.7,2.4,2.2,1.1,0.3,0.44,0.508,0.345,0.829,-0.809004134877848,0.035,2014,27
"646","MIL","Eric Mobley\mobleer01",24.154,"C","us","University of Pittsburgh",1995,1997,113,13.9,3.9,3.1,0.5,0.2,0.5,0.541,0.538,0.75,0.475,-0.787365090456381,0.034,1994,18
"647","BOS","Ron Mercer\mercero01",21.043,"G-F","us","University of Kentucky",1998,2005,432,31.1,13.6,3.1,2.1,1.1,0.3,0.429,0.437,0.25,0.808,-0.53078784945899,0.034,1997,6
"648","WAS","Juan Dixon\dixonju01",23.266,"G","us","University of Maryland",2003,2009,436,19.5,8.4,1.9,1.8,0.8,0.1,0.413,0.442,0.341,0.833,-0.632800487445904,0.034,2002,17
"649","CLE","Dion Waiters\waitedi01",20.206,"G","us","Syracuse University",2013,2018,362,28.8,13.3,2.7,2.8,1,0.3,0.412,0.441,0.341,0.699,-0.59570498272339,0.034,2012,4
"650","HOU","Alec Kessler\kesslal01",23.171,"F-C","us","University of Georgia",1991,1994,210,14,5.2,3.6,0.4,0.2,0.3,0.426,0.426,0.417,0.744,-0.759543461914495,0.033,1990,12
"651","NJN","Tate George\georgta01",22.034,"G","us","University of Connecticut",1991,1995,177,11.4,4.2,1,1.8,0.4,0.1,0.414,0.421,0.071,0.82,-0.781182506335962,0.032,1990,22
"652","UTA","DeShawn Stevenson\stevede01",19.091,"G","us",NA,2001,2013,824,22.3,7.2,2.2,1.6,0.5,0.2,0.406,0.433,0.34,0.698,-0.447322963833332,0.032,2000,23
"653","ORL","Jeryl Sasser\sasseje01",22.14,"G","us","Southern Methodist University",2002,2003,82,12.9,2.5,2.3,0.8,0.6,0.1,0.303,0.305,0.295,0.687,-0.799730258697219,0.032,2001,22
"654","LAC","Melvin Ely\elyme01",24.061,"C","us","California State University Fresno",2003,2014,375,16,5.3,3.2,0.7,0.3,0.6,0.46,0.461,0,0.625,-0.697717620710304,0.032,2002,12
"655","POR","Qyntel Woods\woodsqy01",21.135,"F","us","Northeast Mississippi Community College",2003,2006,167,12.3,4.1,2.3,0.6,0.4,0.2,0.452,0.47,0.357,0.603,-0.778091214275752,0.032,2002,21
"656","ATL","Acie Law\lawac01",22.159,"G","us","Texas A&M University",2008,2011,188,12.7,3.9,1,1.6,0.4,0,0.413,0.452,0.235,0.778,-0.771908630155333,0.032,2007,11
"657","NJN","JaJuan Johnson\johnsja02",22.14,"F","us","Purdue University",2012,2012,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,NA,0.667,-0.815186718998267,0.032,2011,27
"658","DEN","Malik Beasley\beaslma01",19.214,"G","us","Florida State University",2017,2018,48,9.3,3.8,1.3,0.6,0.2,0,0.427,0.505,0.308,0.714,-0.812095426938057,0.032,2016,19
"659","PHI","Timothe Luwawu\luwawti01",21.051,"F","fr",NA,2017,2018,95,17,6.4,2,1.1,0.4,0.1,0.397,0.477,0.309,0.829,-0.787365090456381,0.032,2016,24
"660","DET","Lance Blanks\blankla01",23.297,"G","us","University of Texas at Austin",1991,1993,142,7.4,2,0.8,0.8,0.3,0.1,0.436,0.508,0.253,0.667,-0.799730258697219,0.031,1990,26
"661","SAS","Cory Alexander\alexaco01",22.011,"G","us","University of Virginia",1996,2005,307,15.8,5.5,1.6,2.7,0.9,0.1,0.389,0.417,0.354,0.756,-0.7286305413124,0.03,1995,29
"662","HOU","Bryce Drew\drewbr01",23.282,"G","us","Valparaiso University",1999,2004,243,16.3,4.4,1.2,2.2,0.5,0,0.382,0.389,0.371,0.83,-0.747178293673657,0.03,1998,16
"663","MIL","Joe Alexander\alexajo01",21.188,"F","tw","West Virginia University",2009,2010,67,11.1,4.2,1.8,0.7,0.2,0.4,0.41,0.426,0.34,0.698,-0.805912842817638,0.03,2008,8
"664","CHH","George Zidek\zidekge01",21.335,"C","cz","University of California Los Angeles",1996,1998,135,9.8,3.4,2.1,0.2,0.1,0.1,0.408,0.409,0.25,0.783,-0.796638966637009,0.029,1995,22
"665","IND","Vonteego Cummings\cummivo01",23.127,"G","us","University of Pittsburgh",2000,2002,199,19,6.9,1.9,2.7,0.9,0.2,0.383,0.404,0.321,0.726,-0.753360877794076,0.028,1999,26
"666","DAL","Tony Dumas\dumasto01",21.313,"G","us","University of Missouri-Kansas City",1995,1998,156,14.2,7.3,1.3,1.2,0.4,0.1,0.404,0.438,0.327,0.608,-0.781182506335962,0.027,1994,19
"667","POR","Erick Barkley\barkler01",22.133,"G","us","St. John's University",2001,2002,27,9.9,2.9,0.8,1.5,0.7,0,0.356,0.373,0.267,0.9,-0.815186718998267,0.027,2000,28
"668","BOS","J.R. Giddens\giddejr01",23.139,"G","us","University of New Mexico",2009,2010,38,6.5,1.9,1.4,0.3,0.3,0.1,0.476,0.566,0,0.565,-0.818278011058476,0.027,2008,30
"669","LAC","Randy Woods\woodsra01",21.28,"G","us","La Salle University",1993,1996,151,7.2,2.4,0.6,1.7,0.6,0,0.34,0.384,0.305,0.683,-0.802821550757428,0.026,1992,16
"670","ORL","David Vaughn\vaughda02",22.102,"F","us","University of Memphis",1996,1999,118,9.8,2.9,3.1,0.3,0.3,0.4,0.423,0.425,0,0.638,-0.802821550757428,0.026,1995,25
"671","DET","Rodney White\whitero02",21.004,"F","us","University of North Carolina at Charlotte",2002,2005,218,15.4,7.1,2.2,1.1,0.5,0.3,0.424,0.452,0.314,0.749,-0.765726046034914,0.026,2001,9
"672","MIL","Marcus Haislip\haislma01",21.191,"F","us","University of Tennessee",2003,2010,89,9.6,3.5,1.5,0.2,0.2,0.4,0.437,0.444,0.35,0.659,-0.805912842817638,0.026,2002,13
"673","NJN","Antoine Wright\wrighan01",21.148,"G-F","us","Texas A&M University",2006,2011,297,19.2,5.4,2.3,1,0.5,0.2,0.412,0.467,0.304,0.674,-0.72553924925219,0.026,2005,15
"674","LAL","Lonzo Ball\balllo01",19.243,"G","us","University of California Los Angeles",2018,2018,27,33.3,9.1,6.9,7.2,1.4,0.9,0.332,0.389,0.265,0.486,-0.805912842817638,0.026,2017,2
"675","MIN","Gerald Glass\glassge01",22.233,"G-F","us","University of Mississippi",1991,1996,201,16.7,7.7,2.5,1.5,0.6,0.3,0.433,0.448,0.236,0.643,-0.765726046034914,0.025,1990,20
"676","CHH","Greg Graham\grahagr01",22.222,"G","us","Indiana University",1994,1998,207,12.2,4.5,1.1,1,0.6,0.1,0.407,0.438,0.29,0.775,-0.781182506335962,0.025,1993,17
"677","NJN","Ed O'Bannon\obanned01",22.323,"F","us","University of California Los Angeles",1996,1997,128,16.1,5,2.5,0.8,0.6,0.2,0.367,0.4,0.222,0.755,-0.787365090456381,0.025,1995,9
"678","WAS","Oleksiy Pecherov\pecheol01",20.207,"C","ua",NA,2008,2010,111,9.4,3.9,2.4,0.2,0.2,0.2,0.386,0.444,0.29,0.793,-0.805912842817638,0.025,2006,18
"679","MIL","Yi Jianlian\jianlyi01",19.249,"F","cn",NA,2008,2012,272,22.2,7.9,4.9,0.7,0.5,0.7,0.404,0.413,0.333,0.78,-0.72553924925219,0.025,2007,6
"680","CHO","Malachi Richardson\richama01",20.175,"G","us","Syracuse University",2017,2018,35,9.8,3.6,1,0.5,0.3,0,0.387,0.438,0.319,0.781,-0.815186718998267,0.025,2016,22
"681","SAS","Dwayne Schintzius\schindw01",21.261,"C","us","University of Florida",1991,1999,217,9,2.7,2.5,0.4,0.1,0.5,0.404,0.408,0.125,0.638,-0.79045638251659,0.024,1990,24
"682","DAL","Doug Smith\smithdo03",21.287,"F","us","University of Missouri",1992,1996,296,19.7,8,4.2,1.4,0.8,0.5,0.425,0.43,0.083,0.773,-0.7286305413124,0.024,1991,6
"683","WSB","LaBradford Smith\smithla02",22.089,"G","us","University of Louisville",1992,1994,183,17.1,6.7,1.5,2.2,0.8,0.1,0.432,0.446,0.298,0.813,-0.774999922215543,0.024,1991,19
"684","POR","Elliot Williams\williel01",21.009,"G","us","University of Memphis",2012,2016,109,13.5,4.9,1.5,0.9,0.4,0.1,0.421,0.489,0.31,0.669,-0.799730258697219,0.024,2010,22
"685","SAC","Ben McLemore\mclembe01",20.141,"G","us","University of Kansas",2014,2018,312,25.1,9.2,2.5,1.2,0.7,0.2,0.417,0.468,0.35,0.78,-0.697717620710304,0.024,2013,7
"686","PHI","Michael Carter-Williams\cartemi01",21.266,"G","us","Syracuse University",2014,2018,253,29.1,12.4,5,5.2,1.5,0.6,0.403,0.434,0.253,0.7,-0.710082788951142,0.023,2013,11
"687","SAC","Nik Stauskas\stausni01",20.267,"G","ca","University of Michigan",2015,2018,233,22.3,7.4,2.2,1.7,0.5,0.3,0.387,0.44,0.346,0.811,-0.744087001613447,0.023,2014,8
"688","CHI","Marcus Fizer\fizerma01",21.328,"F","us","Iowa State University",2001,2006,289,20.9,9.6,4.6,1.2,0.5,0.3,0.435,0.446,0.191,0.691,-0.737904417493028,0.022,2000,4
"689","OKC","Archie Goodwin\goodwar01",18.319,"G","us","University of Kentucky",2014,2017,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,-0.787365090456381,0.022,2013,29
"690","BOS","Fab Melo\melofa01",22.014,"C","br","Syracuse University",2013,2013,6,6,1.2,0.5,0,0.3,0.3,0.5,0.5,NA,0.25,-0.821369303118686,0.021,2012,22
"691","MIA","P.J. Hairston\hairspj02",21.189,"G-F","us","University of North Carolina",2015,2016,111,18,6,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,-0.7935476745768,0.021,2014,26
"692","UTA","Quincy Lewis\lewisqu01",22.009,"F","us","University of Minnesota",2000,2004,159,11.7,3.6,1.3,0.6,0.4,0.2,0.397,0.412,0.333,0.71,-0.796638966637009,0.02,1999,19
"693","CHI","Jay Williams\willija03",20.294,"G","us","Duke University",2003,2003,75,26.1,9.5,2.6,4.7,1.1,0.2,0.399,0.431,0.322,0.64,-0.796638966637009,0.02,2002,2
"694","POR","Sebastian Telfair\telfase01",19.02,"G","us",NA,2005,2015,564,21.5,7.4,1.6,3.5,0.7,0.1,0.39,0.419,0.319,0.777,-0.666804700108209,0.02,2004,13
"695","WAS","Lazar Hayward\haywala01",23.216,"F","us","Marquette University",2011,2013,72,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,-0.815186718998267,0.02,2010,30
"696","DET","Stanley Johnson\johnsst04",19.031,"F","us","University of Arizona",2016,2018,176,21.5,6.3,3.3,1.5,0.8,0.2,0.365,0.409,0.297,0.749,-0.771908630155333,0.02,2015,8
"697","MIA","Dave Jamerson\jamerda01",22.324,"G-F","us","Ohio University",1991,1994,90,6.6,3.4,0.9,0.7,0.3,0,0.392,0.413,0.277,0.86,-0.815186718998267,0.018,1990,15
"698","CHI","Norris Cole\coleno01",22.258,"G","us","Cleveland State University",2012,2017,360,22.3,7,2,2.7,0.8,0.1,0.407,0.436,0.324,0.743,-0.7286305413124,0.018,2011,28
"699","LAL","D'Angelo Russell\russeda01",19.127,"G","us","Ohio State University",2016,2018,155,28.4,14.8,3.6,4.1,1.2,0.2,0.413,0.458,0.347,0.748,-0.768817338095124,0.018,2015,2
"700","GSW","Damian Jones\jonesda03",20.364,"F-C","us","Vanderbilt University",2017,2017,10,8.5,1.9,2.3,0,0.1,0.4,0.5,0.5,NA,0.3,-0.821369303118686,0.018,2016,30
"701","MEM","Donte Greene\greendo01",20.131,"F","de","Syracuse University",2009,2012,253,16.8,6.1,2.4,0.7,0.4,0.5,0.406,0.467,0.304,0.701,-0.774999922215543,0.017,2008,28
"702","MEM","Dominique Jones\jonesdo02",21.257,"G","us","University of South Florida",2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,-0.812095426938057,0.017,2010,25
