"","Tm","Player","Age","Pos","Born","College","From","To","G","MP","PTS","TRB","AST","STL","BLK","FG%","2P%","3P%","FT%","WS","WS/48","Draft.Year","Pick.Number"
"728","ATL","Roshown McLeod\mcleoro01",22.225,"F","us","Duke University",1999,2001,113,18.8,7.2,2.7,1.1,0.4,0.1,0.409,0.426,0.111,0.819,-0.815186718998267,0.004,1998,20
"729","DEN","Frank Williams\willifr02",22.127,"G","us","University of Illinois at Urbana-Champaign",2003,2005,86,11.1,2.9,0.9,1.9,0.4,0.1,0.352,0.376,0.3,0.833,-0.818278011058476,0.003,2002,25
"730","DEN","Julius Hodge\hodgeju01",21.228,"G","us","North Carolina State University",2006,2007,23,4.3,1.2,0.7,0.8,0.3,0,0.44,0.44,NA,0.5,-0.821369303118686,0.003,2005,20
"731","POR","Caleb Swanigan\swanica01",20.07,"F","us","Purdue University",2018,2018,14,9.2,2.6,2.6,0.6,0.4,0.2,0.35,0.371,0.2,0.615,-0.821369303118686,0.003,2017,26
"732","ATL","Anthony Avent\aventan01",21.256,"F","us","Seton Hall University",1993,2000,352,19.1,5.6,4.5,0.8,0.5,0.6,0.403,0.404,0,0.686,-0.812095426938057,0.002,1991,15
"733","LAL","Javaris Crittenton\crittja01",19.184,"G","us","Georgia Institute of Technology",2008,2009,113,16.4,5.3,2.4,1.8,0.5,0.1,0.442,0.466,0.231,0.638,-0.818278011058476,0.002,2007,19
"734","DEN","Mark Macon\maconma01",22.078,"G","us","Temple University",1992,1999,251,20,6.7,1.9,1.7,1.4,0.1,0.384,0.393,0.27,0.735,-0.818278011058476,0.001,1991,8
"735","LAC","Elmore Spencer\spencel01",22.206,"C","us","University of Nevada Las Vegas",1993,1997,157,16.8,5.9,3.5,0.7,0.3,1.1,0.516,0.518,0,0.58,-0.821369303118686,0.001,1992,25
"736","CLE","Dajuan Wagner\wagneda02",19.147,"G","us","University of Memphis",2003,2007,103,21.4,9.4,1.4,1.9,0.7,0.1,0.366,0.385,0.321,0.77,-0.821369303118686,0,2002,6
"737","SAC","Quincy Douby\doubyqu01",22.048,"G","us","Rutgers University",2007,2009,143,10.7,4.1,1.1,0.7,0.3,0.1,0.389,0.436,0.312,0.884,-0.821369303118686,0,2006,19
